,content,is_spam
0,"Hey, are we still meeting for biryani today?",0
1,URGENT: Your bank account has been locked. Click here to verify.,1
2,Congratulations! You've won a luxury trip to Dubai. Call now!,1
3,Please find the attached assignment for the Data Science lab.,0
4,Get rich quick! Work from home and earn 5000 USD a day.,1
5,Reminder: FAST NUCES fee deadline is tomorrow.,0
6,Free entry into our $1000 prize draw. Text WIN to 8000.,1
7,Can you send me the notes for the linear algebra quiz?,0
8,Your package is out for delivery. Track it on our website.,0
9,Double your crypto earnings in just two hours! Guaranteed.,1
